timestep,episode,total,progress,velocity,barrier,heading,smoothness,angular,existence,min_laser,distance_to_goal,cmd_vel_x,cmd_vel_y,cmd_vel_z,pose_x,pose_y,pose_yaw,goal_x,goal_y
33,1,-2.774415433638577,0.0,-2.7744154336107534,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.7337040528890615,0.7926901238819819,-0.6691210304441819,1.0000000000092746,1.0,-0.0,1.0,0.0
34,1,1.056732618865069,0.0,1.0567326188928925,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-1.0,-0.3019236053886947,-0.49228146034746945,1.0000000000092746,1.0,-0.0,1.0,0.0
35,1,0.46008603734143066,0.0,0.46008603736925424,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.17640013963921763,-0.13145315353243664,0.43800869255527963,1.0000000000092746,1.0,-0.0,1.0,0.0
36,1,-0.6293698345121338,0.0,-0.6293698344843103,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.07126560604991661,0.17981995270914197,0.46024405903353927,1.0000000000092746,1.0,-0.0,1.0,0.0
37,1,-0.6293698345121338,0.0,-0.6293698344843103,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.07126560604991661,0.17981995270914197,0.46024405903353927,1.0000000000092746,1.0,-0.0,1.0,0.0
38,1,-0.6293698345121338,0.0,-0.6293698344843103,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.07126560604991661,0.17981995270914197,0.46024405903353927,1.0000000000092746,1.0,-0.0,1.0,0.0
39,1,-0.6293698345121338,0.0,-0.6293698344843103,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.07126560604991661,0.17981995270914197,0.46024405903353927,1.0000000000092746,1.0,-0.0,1.0,0.0
40,1,-0.6293698345121338,0.0,-0.6293698344843103,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.07126560604991661,0.17981995270914197,0.46024405903353927,1.0000000000092746,1.0,-0.0,1.0,0.0
41,1,-0.6293698345121338,0.0,-0.6293698344843103,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.07126560604991661,0.17981995270914197,0.46024405903353927,1.0000000000092746,1.0,-0.0,1.0,0.0
42,1,-0.6293698345121338,0.0,-0.6293698344843103,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.07126560604991661,0.17981995270914197,0.46024405903353927,1.0000000000092746,1.0,-0.0,1.0,0.0
43,1,-0.6293698345121338,0.0,-0.6293698344843103,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.07126560604991661,0.17981995270914197,0.46024405903353927,1.0000000000092746,1.0,-0.0,1.0,0.0
44,1,-0.6293698345121338,0.0,-0.6293698344843103,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.07126560604991661,0.17981995270914197,0.46024405903353927,1.0000000000092746,1.0,-0.0,1.0,0.0
45,1,-0.6293698345121338,0.0,-0.6293698344843103,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.07126560604991661,0.17981995270914197,0.46024405903353927,1.0000000000092746,1.0,-0.0,1.0,0.0
46,1,-0.6293698345121338,0.0,-0.6293698344843103,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.07126560604991661,0.17981995270914197,0.46024405903353927,1.0000000000092746,1.0,-0.0,1.0,0.0
47,1,-0.6293698345121338,0.0,-0.6293698344843103,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.07126560604991661,0.17981995270914197,0.46024405903353927,1.0000000000092746,1.0,-0.0,1.0,0.0
48,1,3.499999999997433,0.0,3.5000000000252567,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.7780689162297942,-1.0,0.3758074576408296,1.0000000000092746,1.0,-0.0,1.0,0.0
49,1,-0.27107303668116545,0.0,-0.27107303665334187,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.8779243111108793,0.07744943905195434,0.17304841986087513,1.0000000000092746,1.0,-0.0,1.0,0.0
50,1,-2.698999613676147,0.0,-2.6989996136483234,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,0.9836200134955537,0.7711427467475411,-0.3845195894601331,1.0000000000092746,1.0,-0.0,1.0,0.0
51,1,0.43053001060176715,0.0,0.43053001062959073,0.0,-2.7823559612321027e-11,-0.0,-0.0,0.0,3.5,1.0,-0.9294325097255648,-0.12300857445697727,0.43056625854288527,1.0000000000092746,1.0,-0.0,1.0,0.0
